Name,Date,Space Complexity,Tags,Time Complexity,Topic 1
412. Fizz Buzz,"November 12, 2025",O(n),,O(n),Strings (https://www.notion.so/Strings-244fa7ea1c9780a78a4cc51d413d7267?pvs=21)
14. Longest Common Prefix,"November 12, 2025",O(n),,O(n*m),Strings (https://www.notion.so/Strings-244fa7ea1c9780a78a4cc51d413d7267?pvs=21)
34. Find First and Last Position of Element in Sorted Array,"November 14, 2025",O(1),Revision needed,O(logn),Binary Search (https://www.notion.so/Binary-Search-24cfa7ea1c9780b39a9ecae826f1f8ad?pvs=21)
88. Merge Sorted Array,"November 14, 2025",O(1),,O(n),Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)
74. Search a 2D Matrix,"November 15, 2025",O(1),,O(logn),Binary Search (https://www.notion.so/Binary-Search-24cfa7ea1c9780b39a9ecae826f1f8ad?pvs=21)
148. Sort List,"November 18, 2025",O(n),,O(nlogn),"Sorting (https://www.notion.so/Sorting-26bfa7ea1c9780eaa022f2b5ad3ac885?pvs=21), Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)"
875. Koko Eating Bananas,"November 18, 2025",O(1),,O(nlogn),Binary Search (https://www.notion.so/Binary-Search-24cfa7ea1c9780b39a9ecae826f1f8ad?pvs=21)
373. Find K Pairs with Smallest Sums,"December 18, 2025",O(k),,O(n*logk),Heaps (https://www.notion.so/Heaps-24dfa7ea1c9780f6927adb0e7f9469b7?pvs=21)
1354. Construct Target Array With Multiple Sums,"December 19, 2025",,,,
1. Two Sum,,,,,"Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21), Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)"
2. Add Two Numbers,,,,,Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)
7. Reverse Integer,,O(1),,O(n),Math (https://www.notion.so/Math-2cffa7ea1c978076a4d4f4dcac76dc5b?pvs=21)
9. Palindrome Number,,O(1),,O(n),Math (https://www.notion.so/Math-2cffa7ea1c978076a4d4f4dcac76dc5b?pvs=21)
12. Integer to Roman,,O(n),,O(n),Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21)
13. Roman to Integer,,,,,Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21)
19. Remove Nth Node From End of List,,O(1),,O(n),"Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21), Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21)"
20. Valid Parentheses,,O(n),,O(n),Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
21. Merge Two Sorted Lists,,O(n),,O(n),Linked List (https://www.notion.so/Linked-List-24cfa7ea1c9780f681b6e0bdf57a9475?pvs=21)
22. Generate Parentheses,,,Revision needed,,Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
27. Remove Element,,,,O(n),"Two pointers (https://www.notion.so/Two-pointers-24efa7ea1c9780bab20ac18ec2de97f7?pvs=21), Array (https://www.notion.so/Array-24efa7ea1c9780b9b756fa92e608e324?pvs=21)"
28. Find the Index of the First Occurrence in a String,,,,O(n),Sliding window (https://www.notion.so/Sliding-window-24efa7ea1c978067aeeed8e0f0fa4f99?pvs=21)
32. Longest Valid Parentheses,,,Revision needed,,Stacks (https://www.notion.so/Stacks-2cffa7ea1c9780db86d7e9c7a1314167?pvs=21)
35. Search Insert Position,,,Revision needed,,Binary Search (https://www.notion.so/Binary-Search-24cfa7ea1c9780b39a9ecae826f1f8ad?pvs=21)
36. Valid Sudoku,,,,,Hashmaps (https://www.notion.so/Hashmaps-24cfa7ea1c9780ff9acdce67a3e02651?pvs=21)
40. Combination Sum II,,,,,Backtracking (https://www.notion.so/Backtracking-24efa7ea1c9780f995c9d402d6dda177?pvs=21)
41. First Missing Positive,,,Revision needed,,
